A01AA01;2006;100;018759;;;;16.6;0.1;16.6;1079.8;7;;;
A01AA01;2006;101;018759;16.6;16.6;1079.8;;;;;;;;
A01AA01;2006;200;018759;0;0;0.2;;;;;;;;
A01AA01;2006;300;018759;;;;;;;;;16.7;16.7;
A01AA01;2006;100;036441;;;;1.6;0;1.6;41.3;0.1;;;
A01AA01;2006;103;036441;0.1;0.1;2.9;;;;;;;;
A01AA01;2006;105;036441;1.4;1.4;34.5;;;;;;;;
A01AA01;2006;106;036441;0.2;0.2;4;;;;;;;;
A01AA01;2006;300;036441;;;;;;;;;1.6;1.6;
A01AA01;2006;100;036450;;;;2.7;0;2.7;162.7;1.3;;;
A01AA01;2006;103;036450;0.3;0.3;20.2;;;;;;;;
A01AA01;2006;105;036450;2.3;2.3;142.5;;;;;;;;
A01AA01;2006;106;036450;0;0;0.1;;;;;;;;
A01AA01;2006;200;036450;0;0;0;;;;;;;;
A01AA01;2006;300;036450;;;;;;;;;2.7;2.7;
A01AA01;2006;100;042846;;;;0.1;0;0.1;30.6;0;;;
A01AA01;2006;101;042846;0.1;0.1;30.6;;;;;;;;
A01AA01;2006;200;042846;0;0;0.6;;;;;;;;
A01AA01;2006;300;042846;;;;;;;;;0.1;0.1;
A01AA01;2006;100;043158;;;;0.2;0;0.2;130.8;0;;;
A01AA01;2006;101;043158;0.2;0.2;130.8;;;;;;;;
A01AA01;2006;300;043158;;;;;;;;;0.2;0.2;
A01AA01;2006;100;043208;;;;0;0;0;101.7;0;;;
A01AA01;2006;101;043208;0;0;101.7;;;;;;;;
A01AA01;2006;300;043208;;;;;;;;;0;0;
A01AA01;2006;100;071589;;;;1.8;0;1.8;461.1;0;;;
A01AA01;2006;101;071589;1.8;1.8;461.1;;;;;;;;
A01AA01;2006;200;071589;0;0;0.9;;;;;;;;
A01AA01;2006;300;071589;;;;;;;;;1.8;1.8;
A01AA01;2006;100;175455;;;;12.9;0.1;12.9;699.8;4.3;;;
A01AA01;2006;103;175455;1.1;1.1;65.7;;;;;;;;
A01AA01;2006;105;175455;11.8;11.8;633.7;;;;;;;;
A01AA01;2006;106;175455;0;0;0.4;;;;;;;;
A01AA01;2006;200;175455;0;0;0.4;;;;;;;;
A01AA01;2006;300;175455;;;;;;;;;12.9;12.9;
A01AA01;2006;100;416859;;;;2.4;0;2.4;610.9;0;;;
A01AA01;2006;101;416859;2.4;2.4;610.9;;;;;;;;
A01AA01;2006;200;416859;0;0;2.5;;;;;;;;
A01AA01;2006;300;416859;;;;;;;;;2.4;2.4;
A01AA01;2006;100;416867;;;;0.2;0;0.2;284.8;1.7;;;
A01AA01;2006;101;416867;0.2;0.2;284.8;;;;;;;;
A01AA01;2006;300;416867;;;;;;;;;0.2;0.2;
A01AB02;2006;100;160663;;;;42.7;0;4273.9;879.8;0.1;;;
A01AB02;2006;103;160663;0.5;45.7;11;;;;;;;;
A01AB02;2006;105;160663;42.3;4226.2;868.6;;;;;;;;
A01AB02;2006;106;160663;0;2;0.3;;;;;;;;
A01AB02;2006;200;160663;0.3;25.9;2.5;;;;;;;;
A01AB02;2006;300;160663;;;;;;;;;43;4299.8;
A01AB02;2006;100;160671;;;;16.2;0;4874.1;466.6;0.2;;;
A01AB02;2006;103;160671;0.4;120.9;13.5;;;;;;;;
A01AB02;2006;105;160671;15.8;4752.6;453;;;;;;;;
A01AB02;2006;106;160671;0;0.6;0;;;;;;;;
A01AB02;2006;200;160671;0;0.9;0.1;;;;;;;;
A01AB02;2006;300;160671;;;;;;;;;16.3;4875;
A01AB02;2006;100;160689;;;;7.6;0;3783.5;278.6;0;;;
A01AB02;2006;103;160689;0.5;268.5;23.2;;;;;;;;
A01AB02;2006;105;160689;7;3514;255.4;;;;;;;;
A01AB02;2006;106;160689;0;1;0;;;;;;;;
A01AB02;2006;200;160689;0.5;246.5;10.9;;;;;;;;
A01AB02;2006;300;160689;;;;;;;;;8.1;4030;
A01AB02;2006;100;160762;;;;4;0;4045;207.2;0;;;
A01AB02;2006;103;160762;1;960;53.7;;;;;;;;
A01AB02;2006;105;160762;3.1;3085;153.5;;;;;;;;
A01AB02;2006;200;160762;1;1019;35.8;;;;;;;;
A01AB02;2006;300;160762;;;;;;;;;5.1;5064;
A01AB02;2006;100;741520;;;;0.1;0;13.3;1.4;0;;;
A01AB02;2006;200;741520;0.2;17.9;1.7;;;;;;;;
A01AB02;2006;300;741520;;;;;;;;;0.3;31.2;
A01AB02;2006;100;741538;;;;0;0;1.5;0.1;0;;;
A01AB02;2006;200;741538;0.6;275.5;12.2;;;;;;;;
A01AB02;2006;300;741538;;;;;;;;;0.6;277;
A01AB02;2006;200;741546;0.1;66;2.1;;;;;;;;
A01AB02;2006;300;741546;;;;;;;;;0.1;66;
A01AB02;2006;200;748848;0.1;305;13.3;;;;;;;;
A01AB02;2006;300;748848;;;;;;;;;0.1;305;
A01AB02;2006;200;748855;0;10;0.3;;;;;;;;
A01AB02;2006;300;748855;;;;;;;;;0;10;
A01AB03;2006;100;000619;;;;1.9;0;32.1;84.2;0.5;;;
A01AB03;2006;103;000619;0.4;6.8;20.1;;;;;;;;
A01AB03;2006;105;000619;1.5;25.1;63.7;;;;;;;;
A01AB03;2006;106;000619;0;0.2;0.5;;;;;;;;
A01AB03;2006;200;000619;0;0.3;0.5;;;;;;;;
A01AB03;2006;300;000619;;;;;;;;;1.9;32.4;
A01AB03;2006;100;000633;;;;0.4;0;14.1;27.9;0.5;;;
A01AB03;2006;103;000633;0.1;4.7;10;;;;;;;;
A01AB03;2006;105;000633;0.3;9.3;17.9;;;;;;;;
A01AB03;2006;300;000633;;;;;;;;;0.4;14.1;
A01AB03;2006;100;003964;;;;0;0;0;13.2;0;;;
A01AB03;2006;102;003964;0;0;7.5;;;;;;;;
A01AB03;2006;104;003964;0;0;5.6;;;;;;;;
A01AB03;2006;300;003964;;;;;;;;;0;0;
A01AB04;2006;100;407403;;;;4.5;4.4;66.8;472.6;272;;;
A01AB04;2006;101;407403;4.5;66.8;472.6;;;;;;;;
A01AB04;2006;200;407403;0.2;2.6;13.3;;;;;;;;
A01AB04;2006;300;407403;;;;;;;;;4.6;69.4;
A01AB09;2006;100;050963;;;;38.9;38.7;155.7;2682.3;1432.5;;;
A01AB09;2006;101;050963;38.9;155.7;2682.3;;;;;;;;
A01AB09;2006;200;050963;1.9;7.7;69.3;;;;;;;;
A01AB09;2006;300;050963;;;;;;;;;40.9;163.4;
